Label	Area	Perim	Circ	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
imp	0.003	0.196	0.905	0.075	4.638	10.116	45	0.053	1.025	0.975	0.995
imp	0.003	0.209	0.863	0.079	4.527	10.09	126.87	0.048	1.333	0.75	1
imp	0.022	0.766	0.479	0.285	4.892	10.486	40.486	0.155	2.239	0.447	0.762
imp	0.036	1.035	0.42	0.288	4.263	10.359	118.443	0.226	1.191	0.84	0.746
imp	0.005	0.254	0.911	0.092	4.791	10.354	120.964	0.063	1.255	0.797	0.968
imp	0.003	0.209	0.863	0.079	4.131	10.396	143.13	0.048	1.333	0.75	1
imp	0.005	0.262	0.865	0.106	3.936	10.438	143.13	0.063	1.514	0.66	0.963
imp	0.087	1.91	0.301	0.55	4.58	10.497	142.8	0.316	1.852	0.54	0.729
imp	3.472	9.677	0.466	3.97	19.192	12.05	21.136	1.085	3.785	0.264	0.934
imp	0.016	0.583	0.61	0.239	4.543	10.655	125.096	0.11	2.434	0.411	0.834
imp	0.003	0.221	0.888	0.087	4.686	10.824	142.431	0.053	1.348	0.742	0.976
imp	0.023	0.683	0.625	0.236	8.273	10.85	132.274	0.172	1.215	0.823	0.873
imp	0.881	6.647	0.25	1.62	6.984	11.178	148.331	1.134	1.242	0.805	0.633
imp	2.332	10.776	0.252	2.499	16.989	11.812	99.861	1.796	1.378	0.726	0.783
imp	0.201	2.804	0.321	1.106	7.845	11.955	98.517	0.33	4.17	0.24	0.773
imp	0.009	0.351	0.892	0.142	8.473	12.023	131.987	0.09	1.556	0.643	0.956
imp	0.074	1.524	0.402	0.61	14.073	12.092	144.52	0.236	2.941	0.34	0.771
imp	0.018	0.555	0.739	0.199	13.867	12.113	147.995	0.127	1.529	0.654	0.925
imp	0.789	10.755	0.086	2.281	13.571	12.155	114.784	0.938	2.806	0.356	0.516
imp	0.044	1.187	0.393	0.497	8.891	12.192	138.013	0.15	4.067	0.246	0.757
imp	0.003	0.203	0.916	0.079	9.303	12.525	47.726	0.053	1.112	0.9	0.991
imp	0.003	0.193	0.925	0.075	14.601	12.483	135	0.053	1.052	0.95	0.99
imp	0.004	0.25	0.887	0.094	13.481	12.874	51.843	0.063	1.221	0.819	0.969
imp	0.021	0.662	0.614	0.266	8.996	13.328	159.044	0.107	2.555	0.391	0.905
